County,month,DOS ID
albany,2,-0.08190819081908196
albany,3,0.11960784313725492
albany,4,0.13572679509632235
albany,5,-0.04394757131842719
albany,6,-0.2104838709677419
albany,7,0.06332992849846786
albany,8,0.057636887608069065
albany,9,0.0072661217075387086
albany,10,0.15238954012623984
albany,11,-0.19953051643192488
albany,12,0.1837732160312806
allegany,1,-0.9917423616845582
allegany,2,0.19999999999999996
allegany,3,0.33333333333333326
allegany,4,-0.1875
allegany,5,0.5384615384615385
allegany,6,-0.35
allegany,7,-0.3846153846153846
allegany,8,-0.125
allegany,9,2.142857142857143
allegany,10,-0.18181818181818177
allegany,11,-0.7222222222222222
allegany,12,1.7999999999999998
bronx,1,52.5
bronx,2,-0.14552736982643522
bronx,3,0.1812499999999999
bronx,4,-0.04365079365079361
bronx,5,-0.023513139695712337
bronx,6,-0.16288951841359778
bronx,7,0.0016920473773265332
bronx,8,-0.07601351351351349
bronx,9,0.1060329067641681
bronx,10,0.18512396694214872
bronx,11,-0.21896792189679215
bronx,12,-0.03392857142857142
broome,1,-0.866913123844732
broome,2,-0.25
broome,3,0.4259259259259258
broome,4,-0.10389610389610393
broome,5,0.04347826086956519
broome,6,-0.45833333333333337
broome,7,0.5384615384615385
broome,8,0.10000000000000009
broome,9,0.10606060606060597
broome,10,-0.09589041095890416
broome,11,-0.13636363636363635
broome,12,0.12280701754385959
cattaraugus,1,-0.515625
cattaraugus,2,-0.5161290322580645
cattaraugus,3,0.19999999999999996
cattaraugus,4,-0.2222222222222222
cattaraugus,5,0.3571428571428572
cattaraugus,6,-0.42105263157894735
cattaraugus,7,0.2727272727272727
cattaraugus,8,-0.2142857142857143
cattaraugus,9,0.7272727272727273
cattaraugus,10,-0.26315789473684215
cattaraugus,11,-0.2142857142857143
cattaraugus,12,0.09090909090909083
cayuga,1,0.9166666666666667
cayuga,2,-0.4782608695652174
cayuga,3,0.75
cayuga,4,-0.1428571428571429
cayuga,5,-0.05555555555555558
cayuga,6,0.41176470588235303
cayuga,7,0.0
cayuga,8,-0.5833333333333333
cayuga,9,1.5
cayuga,10,0.1200000000000001
cayuga,11,-0.4285714285714286
cayuga,12,0.25
chautauqua,1,0.6000000000000001
chautauqua,2,-0.1875
chautauqua,3,1.2692307692307692
chautauqua,4,-0.3728813559322034
